--------------------------------------------------
|             lib          |       License        |
--------------------------------------------------
soapUi-4.0.0 			 		LGPL
activation-1.1.jar 		 		java sun - texto
jms-1.1.jar 			 		java sun - ?
mail-1.4.jar 			 		java sun - texto
ant-1.7.0.jar 			 		Apache License v2.0
ant-apache-log4j-1.8.2.jar		Apache License v2.0
ant-launcher-1.7.0.jar			Apache License v2.0
antlr-2.7.7.jar					BSD License
asm-3.2.jar						BSD License (according to httpclient)
asm-analysis-3.2.jar			BSD License (according to httpclient)
asm-commons-3.2.jar				BSD License (according to httpclient)
asm-tree-3.2.jar				BSD License (according to httpclient)
asm-util-3.2.jar				BSD License (according to httpclient)
bcprov-jdk15-1.44.jar			Bouncy Castle License
commons-beanutils-1.8.3.jar		Apache License v2.0
commons-cli-1.2.jar				Apache License v2.0
commons-codec-1.4.jar			Apache License v2.0
commons-collections-3.2.1.jar	Apache License v2.0
commons-httpclient-3.1.jar		Apache License v2.0
commons-io-2.0.1.jar			Apache License v2.0
commons-lang-2.4.jar			Apache License v2.0
commons-logging-1.1.1.jar		Apache License v2.0
ezmorph-1.0.6.jar				Apache License v2.0
groovy-1.7.10.jar				Apache License v2.0 (according to SOAPUI)
groovy-all-1.1-rc-1.jar			Apache License v2.0 (according to SOAPUI)
hamcrest-core-1.1.jar			New BSD License
http-builder-0.5.1.jar			Apache License v2.0
httpclient-4.0.3.jar			Apache License v2.0
httpcore-4.0.1.jar				Apache License v2.0
javaee-api-6.0.jar				CDDL + GPLv2 with classpath exception
json-lib-2.3-jdk15.jar			Apache License v2.0
musicstore-1.0-SNAPSHOT.jar
nekohtml-1.9.9.jar				Apache License v2.0
not-yet-commons-ssl-0.3.11.jar	Apache License v2.0
rest-assured-1.2.2.jar			Apache License v2.0
saxon-8.7.jar					Mozilla Public License
saxon-jdom-6.5.3.jar			Mozilla Public License
soap-xmlbeans-1.2.jar			Unknown
xbean-fixed-2.4.0.jar			Unknown
xbean_xpath-2.4.0.jar			Unknown
xml-apis-1.3.03.jar				Apache License v2.0
xml-resolver-1.2.jar			Apache License v2.0
xmlpublic-2.4.0.jar				Apache License v2.0
xercesImpl-2.8.1.jar			Apache License v2.0
